CensusId,State,County,TotalPop,Total Pop,Men,Women,White,Black,Native,Hispanic,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Child Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,Other Transp,WorkAtHome,Commute,Employed,PrivateWork,Public Work,SelfEmployed,FamilyWork,Unemployment
27097,Minnesota,Morrison,32962,32962,16663,16299,96.3,0.5,0.1,1.4,0.5,0,24970,50049,1481,24984,797,11.3,12.3,29.5,16.5,21.5,13.1,19.4,78.6,9.8,0.3,3.2,1.1,7,25.7,16533,77.6,12,9.7,0.6,5.8
27119,Minnesota,Polk,31547,31547,15940,15607,89,1.1,1,5.8,0.8,0,23758,53326,1183,26766,627,13.1,17.4,34.8,16.7,22.6,11.4,14.4,81.6,8.3,0.5,3.3,1.2,5.1,17.6,15978,75.5,16.5,7.8,0.2,4.6
27047,Minnesota,Freeborn,30897,30897,15304,15593,87.2,1.1,0.2,9.3,1.2,0,23408,47105,1270,26494,802,12.1,17.6,27.4,18.6,22,11.7,20.3,81.9,9.5,0.9,1.7,2.7,3.3,18.7,15322,83,9.6,7.4,0.1,4.9
27115,Minnesota,Pine,29218,29218,15605,13613,89.9,2,2.3,2.7,0.5,0,22850,44549,1426,22436,531,14.6,20.7,25,23.8,20.6,14.1,16.5,78.2,12.9,0.7,2.9,1.3,4,30.1,12645,75.5,16.9,7.3,0.3,7.4
27021,Minnesota,Cass,28519,28519,14512,14007,84.2,0.3,10.6,1.6,0.5,0,22352,46531,916,25720,975,16.6,29,29.4,21,23.7,13.3,12.7,76.2,10.2,0.8,3.4,1.5,7.9,23.1,12165,71.4,17.9,10.4,0.3,7.4
27079,Minnesota,Le Sueur,27707,27707,14008,13699,91.9,0.5,0.4,5.6,0.5,0,20422,60632,1413,28483,771,9.1,11.8,31.9,16.5,19.8,12.6,19.3,81.7,9.4,0.6,2.8,0.8,4.7,25,14456,79.1,14,6.8,0.2,5.3
27095,Minnesota,Mille Lacs,25809,25809,12980,12829,89.9,0.5,5,1.8,0.4,0,19387,49094,2433,23603,742,12.2,15.7,28.2,19.3,21.2,13.5,17.8,80.5,10.5,0.5,2.5,1.5,4.4,28.7,11752,78.2,15.1,6.6,0.1,7.7
27083,Minnesota,Lyon,25699,25699,12818,12881,86.6,2.8,0.5,6.3,3.3,0,18563,51600,1294,28010,1927,14.1,20.2,33.2,15.2,21.9,10.8,18.8,75.4,12.4,0.9,3.6,1.7,6.1,14.6,13788,79.1,12.1,8.7,0.1,5.3
27015,Minnesota,Brown,25391,25391,12620,12771,94.5,0.4,0.1,3.7,0.4,0.1,19712,52598,2042,28018,1126,7.8,8.1,31.3,17.1,21.9,11.5,18.2,78,7.6,0.6,5.2,1.3,7.3,14.3,13583,81.1,9.9,8.8,0.2,3.2
27153,Minnesota,Todd,24466,24466,12500,11966,91.9,0.3,0.4,5.5,0.4,0,17968,46414,1967,23808,564,14.7,23.2,28.4,16,18.3,12.8,24.4,75.4,10.7,0.3,4.1,1.7,7.8,23.5,11437,76,12.1,11.1,0.8,5.1
27093,Minnesota,Meeker,23129,23129,11675,11454,94.9,0.3,0.1,3.4,0.4,0.1,17031,55042,2206,27313,766,10.1,12.8,32.2,15.2,18.8,11.6,22.3,82.9,8.3,0.3,3,1.2,4.4,25.2,11477,80.6,11.4,7.3,0.7,4.7
27105,Minnesota,Nobles,21687,21687,11190,10497,62.5,3.9,0.2,25.3,5.7,0,13169,50625,1945,23515,960,15.6,22.4,24.6,15.3,19.3,13.1,27.7,71.5,16.9,0.3,3.6,3.3,4.3,17.7,10431,81.3,9.5,8.9,0.3,6.9
27157,Minnesota,Wabasha,21381,21381,10777,10604,95.1,0.1,0.1,2.9,0.4,0,16388,56510,1667,30468,1317,7.3,10.1,33.2,15.9,22,12.1,16.9,76.4,10,2.2,4.6,1.1,5.7,22.8,11221,79.5,9.4,10.9,0.2,3.6
27045,Minnesota,Fillmore,20843,20843,10445,10398,97.3,0.4,0.1,1.1,0.4,0,15728,51665,1872,26348,626,11.1,16.5,34.7,18.2,18.7,13.8,14.6,71.7,11.7,2.8,4.9,1.8,7.1,25.8,10595,77.2,11.7,10.6,0.5,4.3
27057,Minnesota,Hubbard,20574,20574,10282,10292,93.5,0.5,2,1.8,0.5,0,16106,47486,1961,25725,698,11.6,17.1,30.3,19.9,22.7,12.4,14.8,79.4,9.2,0.4,3.6,1.2,6.1,21.3,9475,72.9,17.3,9.6,0.2,5
27091,Minnesota,Martin,20350,20350,10050,10300,94,0.3,0.2,3.9,0.5,0,15639,51391,3518,28244,1181,11.4,17.6,30.9,16.6,21.8,13.2,17.5,80,9.2,1,3.1,1.6,5.2,17.1,10273,79.8,9.3,10.5,0.3,3.5
27039,Minnesota,Dodge,20290,20290,10144,10146,93,0.5,0.1,4.8,0.4,0,14446,68116,2915,30091,967,6.7,9.3,36.7,15.8,20,10.7,16.9,80.8,9.2,1,1.6,0.9,6.4,24,10890,83.8,10.1,6,0.1,3.5
27161,Minnesota,Waseca,19076,19076,9162,9914,89.5,2.6,0.4,5.7,0.8,0,14149,53564,3614,26457,1100,8.7,9.8,31.7,16.5,20.8,9.7,21.3,81.1,9.1,0.6,1.7,1.3,6.1,19.3,9630,79.5,11.9,8.4,0.2,4.6
27055,Minnesota,Houston,18812,18812,9405,9407,96.7,0.3,0.3,0.8,0.2,0,14676,53809,1937,27626,782,11,17.3,33.9,16.8,20.3,13.9,15,80.3,7.6,0.5,3.4,1.9,6.2,21.1,9795,80.2,9.7,9.9,0.2,4.9
27065,Minnesota,Kanabec,16003,16003,8121,7882,95.3,0.4,1,1.6,0.3,0,12348,47384,2277,23661,761,14.2,21.3,27.4,19.3,21.3,14.3,17.7,78.8,11.7,0.2,2.1,2,5.1,32.3,7287,78.6,13.5,7.8,0.1,9.8
27001,Minnesota,Aitkin,15839,15839,8064,7775,94.4,0.3,1.8,1.1,0.3,0,13027,42252,893,25591,1517,12.4,13.7,27.6,22.5,23.9,13.1,13,79.4,9.3,0.3,4.3,1.5,5.2,25.1,6428,75.4,15.2,9.2,0.2,7.3
27127,Minnesota,Redwood,15723,15723,7898,7825,87.7,0.7,4.8,2.7,3.3,0,11651,47211,1479,25716,787,11.8,17.2,33.6,18.7,19.3,13.2,15.2,75.9,9.2,0.6,4.7,1.1,8.5,16.4,7577,77.1,10.2,12.3,0.3,4
27135,Minnesota,Roseau,15615,15615,7991,7624,93.1,0.7,1.3,1,2.7,0,11464,53199,1609,26698,935,10.7,16.8,28.7,13,16.9,8.3,33.1,74,15.3,0.9,3.3,1.4,5.2,16.2,8447,82.9,10.5,6.5,0.2,2.7
27129,Minnesota,Renville,15171,15171,7715,7456,89.5,0.8,1,7.5,0.6,0,11545,52149,1883,28698,836,11.1,17.7,32.5,15.4,17.8,14.1,20.2,80.7,7.1,0.3,3.4,1.4,7.1,18.4,7573,77.8,12,10.1,0.1,5
27143,Minnesota,Sibley,15021,15021,7611,7410,89.7,0.4,0.2,8.2,0.6,0,10967,56990,2491,27493,731,10.7,17.9,30.7,15.1,18,14.5,21.8,77.6,9.5,0.4,3.8,0.5,8.2,24.9,7867,77.9,11.4,10.3,0.4,5.5
27043,Minnesota,Faribault,14230,14230,7165,7065,92.1,0.3,0.2,6.1,0.4,0,11023,47540,2494,27135,1094,13.5,22.6,32.1,17.6,19.5,14.1,16.7,78.5,8.5,0.3,4.4,1,7.3,18.7,7117,74.6,12.5,12.6,0.3,4.2
27113,Minnesota,Pennington,14110,14110,7087,7023,91.3,1.6,1.4,3.3,0.8,0.4,10672,47127,3736,25500,924,9.3,10.8,28.4,13.8,29.7,9.6,18.5,73,14,0.9,4.1,2.8,5.2,15,7636,82.9,9.3,7.6,0.2,3
27159,Minnesota,Wadena,13759,13759,6820,6939,95,0.9,1,1.6,0.6,0,10388,41906,2982,22002,1272,16.4,19.5,24.7,16.4,23.7,11.7,23.4,78.2,11.1,0.8,4.4,0.9,4.7,20.8,5859,78.8,12.5,8.6,0.1,5.2
27071,Minnesota,Koochiching,13054,13054,6535,6519,93.7,0.9,3.3,0.1,0.6,0,10163,42919,2720,25398,1651,15.2,18.1,27.5,18.6,23.2,11.9,18.8,72.4,14.2,1.9,4,2,5.5,14.9,5877,79.4,13.8,6.7,0.1,7.8
27023,Minnesota,Chippewa,12154,12154,5984,6170,90,0.8,1.3,5.7,0.2,1,9128,50858,2807,26372,836,12.2,20.2,29.8,20.9,18.2,12.8,18.3,79.8,8.9,0.9,3.4,1.1,5.9,17.3,6367,76.5,14.8,8.5,0.3,2.6
27033,Minnesota,Cottonwood,11632,11632,5685,5947,87.7,0.6,0.5,7,2.7,0,8620,46750,3851,24978,1079,16.8,23.2,29.6,17.9,20.1,12.3,20.2,72.5,10.5,1.2,6.6,1.8,7.4,17.3,5408,75.1,13.3,11.3,0.3,4.9
27165,Minnesota,Watonwan,11054,11054,5468,5586,75.4,0.6,0.2,22.1,1.1,0,7481,50604,1759,25973,1235,10.8,16.3,28.1,13.5,18.3,16.1,24,77.4,10.1,0.4,4.7,1,6.3,19.5,5676,79.7,11.2,8.5,0.7,2.9
27121,Minnesota,Pope,10948,10948,5550,5398,96.9,0.5,0.5,1.1,0.4,0,8616,52785,3014,30071,1429,9.4,11.5,35.2,14.9,22.7,9.1,18.1,79.3,8.9,0.4,4.8,1.4,5.3,18.7,5406,77.7,13.3,8.5,0.5,4.1
27075,Minnesota,Lake,10750,10750,5451,5299,96.3,0.1,0.2,1.2,0,0.1,8647,48417,1965,29346,1351,13,22.4,30.5,23.6,18.2,13.6,14.2,75.9,11,0.1,5.9,2.1,5,22,4870,74.8,17.4,7.8,0.1,4.8
27063,Minnesota,Jackson,10211,10211,5154,5057,93.5,0.2,0.1,3.2,2.5,0,7796,50574,2147,27494,1066,10.8,16.7,34.7,16.4,18.2,11,19.7,80.2,8.8,0.2,3,1.2,6.7,18.1,5392,71.4,12.8,15.3,0.5,3.2
27173,Minnesota,Yellow Medicine,10092,10092,5170,4922,90.8,0.5,2.4,4.1,0.6,0,7680,53041,2157,26885,737,11.9,15.9,33.6,16.5,20.4,12.3,17.3,72,10.6,0.4,6.2,1.3,9.4,17.8,5147,73.8,11.4,14.6,0.3,3.4
27149,Minnesota,Stevens,9771,9771,4896,4875,90.4,0.7,1,4.1,1.9,0.2,7406,52302,3546,25739,1450,18.4,9.5,33.3,19.6,22.2,11.9,13,73.1,7.6,1.4,10.3,2.4,5.3,12.7,5058,72.5,20,7.3,0.3,3.1
